Year,Lunation,New Moon (D),New Moon (T),Full Quarter (D),Full Quarter (T),Full Moon (D),Full Moon (T),Third Quarter (D),Third Quarter (T),Duration
2021,Year 2021,Date,Time,Date,Time,Date,Time,Date,Time,
2021,1212,,,,,,,6-Jan,5:37 PM,29d 12h 44m
2021,1213,13-Jan,1:00 PM,21-Jan,5:01 AM,29-Jan,3:16 AM,5-Feb,1:37 AM,29d 14h 06m
2021,1214,12-Feb,3:05 AM,20-Feb,2:47 AM,27-Feb,4:17 PM,6-Mar,9:30 AM,29d 15h 15m
2021,1215,13-Mar,6:21 PM,21-Mar,10:40 PM,29-Mar,2:48 AM,4-Apr,6:02 PM,29d 16h 10m
2021,1216,12-Apr,10:30 AM,20-Apr,2:58 PM,27-Apr,11:31 AM,4-May,3:50 AM,29d 16h 29m
2021,1217,12-May,2:59 AM,20-May,3:12 AM,26-May,7:13 PM,2-Jun,3:24 PM,29d 15h 53m
2021,1218,10-Jun,6:52 PM,18-Jun,11:54 AM,25-Jun,2:39 AM,2-Jul,5:10 AM,29d 14h 24m
2021,1219,10-Jul,9:16 AM,17-Jul,6:10 PM,24-Jul,10:36 AM,31-Jul,9:15 PM,29d 12h 34m
2021,1220,8-Aug,9:50 PM,15-Aug,11:19 PM,22-Aug,8:01 PM,30-Aug,3:13 PM,29d 11h 02m
2021,1221,7-Sep,8:51 AM,14-Sep,4:39 AM,21-Sep,7:54 AM,29-Sep,9:57 AM,29d 10h 14m
2021,1222,6-Oct,7:05 PM,13-Oct,11:25 AM,20-Oct,10:56 PM,29-Oct,4:05 AM,29d 10h 09m
2021,1223,5-Nov,5:14 AM,11-Nov,8:45 PM,19-Nov,4:57 PM,27-Nov,8:27 PM,29d 10h 28m
2021,1224,4-Dec,3:43 PM,11-Dec,9:35 AM,19-Dec,12:35 PM,27-Dec,10:23 AM,29d 10h 51m
,,,,,,,,,,
Year,Lunation,New Moon (D),New Moon (T),Full Quarter (D),Full Quarter (T),Full Moon (D),Full Moon (T),Third Quarter (D),Third Quarter (T),Duration
2022,Year 2022,Date,Time,Date,Time,Date,Time,Date,Time,
2022,1225,3-Jan,2:33 AM,10-Jan,2:11 AM,18-Jan,7:48 AM,25-Jan,9:40 PM,29d 11h 12m
2022,1226,1-Feb,1:46 PM,8-Feb,9:50 PM,17-Feb,12:56 AM,24-Feb,6:32 AM,29d 11h 49m
2022,1227,3-Mar,1:34 AM,10-Mar,6:45 PM,18-Mar,3:17 PM,25-Mar,1:37 PM,29d 12h 50m
2022,1228,1-Apr,2:24 PM,9-Apr,2:47 PM,17-Apr,2:55 AM,23-Apr,7:56 PM,29d 14h 04m
2022,1229,1-May,4:28 AM,9-May,8:21 AM,16-May,12:14 PM,23-May,2:43 AM,29d 15h 02m
2022,1230,30-May,7:30 PM,7-Jun,10:48 PM,14-Jun,7:51 PM,21-Jun,11:10 AM,29d 15h 22m
2022,1231,29-Jun,10:52 AM,7-Jul,10:14 AM,14-Jul,2:37 AM,20-Jul,10:18 PM,29d 15h 03m
2022,1232,29-Jul,1:54 AM,5-Aug,7:06 PM,12-Aug,9:35 AM,19-Aug,12:36 PM,29d 14h 22m
2022,1233,27-Aug,4:17 PM,4-Sep,2:07 AM,10-Sep,5:59 PM,18-Sep,5:52 AM,29d 13h 37m
2022,1234,26-Sep,5:54 AM,3-Oct,8:14 AM,10-Oct,4:54 AM,18-Oct,1:15 AM,29d 12h 54m
2022,1235,25-Oct,6:48 PM,1-Nov,2:37 PM,8-Nov,7:02 PM,16-Nov,9:27 PM,29d 12h 09m
2022,1236,24-Nov,6:57 AM,30-Nov,10:36 PM,8-Dec,12:08,16-Dec,4:56,29d 11h 20m
2022,1237,23-Dec,18:16,30-Dec,9:20,,,,,29d 10h 36m
,,,,,,,,,,
Year,Lunation,New Moon (D),New Moon (T),Full Quarter (D),Full Quarter (T),Full Moon (D),Full Moon (T),Third Quarter (D),Third Quarter (T),Duration
2023,Year 2023,Date,Time,Date,Time,Date,Time,Date,Time,
2023,1237,,,,,7-Jan,7:07 AM,15-Jan,10:10 AM,29d 10h 36m
2023,1238,22-Jan,4:53 AM,28-Jan,11:18 PM,6-Feb,2:28 AM,14-Feb,12:00 AM,29d 10h 13m
2023,1239,20-Feb,3:05 PM,27-Feb,4:05 PM,7-Mar,8:40 PM,15-Mar,10:08 AM,29d 10h 17m
2023,1240,22-Mar,1:23 AM,29-Mar,10:32 AM,6-Apr,12:34 PM,13-Apr,5:11 PM,29d 10h 49m
2023,1241,20-Apr,12:12 PM,28-Apr,5:19 AM,6-May,1:34 AM,12-May,10:28 PM,29d 11h 41m
2023,1242,19-May,11:53 PM,27-May,11:22 PM,4-Jun,11:41 AM,11-Jun,3:31 AM,29d 12h 44m
2023,1243,18-Jun,12:37 PM,26-Jun,3:49 PM,3-Jul,7:38 PM,10-Jul,9:47 AM,29d 13h 55m
2023,1244,18-Jul,2:31 AM,26-Jul,6:06 AM,2-Aug,2:31 AM,8-Aug,6:28 PM,29d 15h 06m
2023,1245,16-Aug,5:38 PM,24-Aug,5:57 PM,31-Aug,9:35 AM,7-Sep,6:21 AM,29d 16h 02m
2023,1246,15-Sep,9:39 AM,23-Sep,3:31 AM,29-Sep,5:57 PM,6-Oct,9:47 PM,29d 16h 15m
2023,1247,15-Oct,1:55 AM,22-Oct,11:29 AM,29-Oct,4:24 AM,5-Nov,16:36,29d 15h 32m
2023,1248,13-Nov,17:27,20-Nov,18:49,27-Nov,17:16,5-Dec,13:49,29d 14h 05m
2023,1249,13-Dec,7:32,20-Dec,2:39,27-Dec,8:33,,,29d 12h 25m
,,,,,,,,,,
Year,Lunation,New Moon (D),New Moon (T),Full Quarter (D),Full Quarter (T),Full Moon (D),Full Moon (T),Third Quarter (D),Third Quarter (T),Duration
2024,Year 2024,Date,Time,Date,Time,Date,Time,Date,Time,
2024,1249,,,,,,,4-Jan,11:30 AM,29d 12h 25m
2024,1250,11-Jan,7:57 PM,18-Jan,11:52 AM,26-Jan,1:53 AM,3-Feb,7:18 AM,29d 11h 02m
2024,1251,10-Feb,6:59 AM,16-Feb,11:00 PM,24-Feb,8:30 PM,3-Mar,11:23 PM,29d 10h 01m
2024,1252,10-Mar,5:00 PM,17-Mar,12:10 PM,25-Mar,3:00 PM,2-Apr,11:14 AM,29d 9h 20m
2024,1253,9-Apr,2:20 AM,16-Apr,3:13 AM,24-Apr,7:48 AM,1-May,7:27 PM,29d 9h 01m
2024,1254,8-May,11:21 AM,15-May,7:48 PM,23-May,9:53 PM,31-May,1:12 AM,29d 9h 16m
2024,1255,6-Jun,8:37 PM,14-Jun,1:18 PM,22-Jun,9:07 AM,29-Jun,5:53 AM,29d 10h 20m
2024,1256,6-Jul,6:57 AM,14-Jul,6:48 AM,21-Jul,6:17 PM,28-Jul,10:51 AM,29d 12h 16m
2024,1257,4-Aug,7:13 PM,12-Aug,11:18 PM,20-Aug,2:25 AM,26-Aug,5:25 PM,29d 14h 42m
2024,1258,3-Sep,9:55 AM,11-Sep,14:05,18-Sep,10:34,25-Sep,2:49,29d 16h 54m
2024,1259,3-Oct,2:49,11-Oct,2:55,17-Oct,19:26,24-Oct,16:03,29d 17h 58m
2024,1260,1-Nov,20:47,9-Nov,13:55,16-Nov,5:28,23-Nov,9:27,29d 17h 34m
2024,1261,1-Dec,14:21,8-Dec,23:26,15-Dec,17:01,23-Dec,6:18,29d 16h 05m
2024,1262,31-Dec,6:26,,,,,,,29d 14h 09m
,,,,,,,,,,
Year,Lunation,New Moon (D),New Moon (T),Full Quarter?(D),Full Quarter?(T),Full Moon?(D),Full Moon (T),Third Quarter?(D),Third Quarter (T),Duration
2025,Year 2025,Date,Time,Date,Time,Date,Time,Date,Time,
2025,1262,,,7-Jan,7:56 AM,14-Jan,6:26 AM,22-Jan,4:30 AM,29d 14h 09m
2025,1263,29-Jan,8:35 PM,5-Feb,4:02 PM,12-Feb,9:53 PM,21-Feb,1:32 AM,29d 12h 09m
2025,1264,28-Feb,8:44 AM,7-Mar,12:31 AM,14-Mar,2:54 PM,22-Mar,7:29 PM,29d 10h 13m
2025,1265,29-Mar,6:57 PM,5-Apr,10:14 AM,13-Apr,8:22 AM,21-Apr,9:35 AM,29d 8h 33m
2025,1266,28-Apr,3:31 AM,4-May,9:51 PM,13-May,12:55 AM,20-May,7:58 PM,29d 7h 31m
2025,1267,27-May,11:02 AM,3-Jun,11:40 AM,11-Jun,3:43 PM,19-Jun,3:19 AM,29d 7h 29m
2025,1268,25-Jun,6:31 PM,3-Jul,3:30 AM,11-Jul,4:36 AM,18-Jul,8:37 AM,29d 8h 40m
2025,1269,25-Jul,3:11 AM,1-Aug,8:41 PM,9-Aug,15:55,16-Aug,13:12,29d 10h 55m
2025,1270,23-Aug,14:06,31-Aug,14:25,8-Sep,2:08,14-Sep,18:32,29d 13h 48m
2025,1271,22-Sep,3:54,30-Sep,7:53,7-Oct,11:47,14-Oct,2:12,29d 16h 31m
2025,1272,21-Oct,20:25,30-Oct,0:20,5-Nov,21:19,12-Nov,13:28,29d 18h 22m
2025,1273,20-Nov,14:47,28-Nov,14:58,5-Dec,7:14,12-Dec,4:51,29d 18h 56m
2025,1274,20-Dec,9:43,28-Dec,3:09,,,,,29d 18h 09m
